id,preis,endreinigung,typ,stadt,stadtteil,lat,lon,bewertungen,bewertung,gaeste,baeder,schlafzimmer,betten,internet,wlan,kueche,heizung,klimaanlage,haartrockner,familienfreundlich,buegeleisen,waschmaschine,trockner,rauchmelder,kohlenmonoxidmelder,feuerloescher,erstehilfekoffer,fernsehen,kabelfernsehen,fruehstueck,kamin,fahrstuhl,pool,fitnessstudio,whirlpool,rollstuhlgeeignet,bettwaesche,mikrowelle,geschirr,ofen,herd,badewanne,kaffeemaschine,geschirrspueler,ebenerdig,kuehlschrank,rauchen,haustiere,hochstuhl,kinderkrippe,spielekonsole
10032,178,1,Apartment,SF,Duboce Triangle,37.76938789351549,-122.43324051465562,25,98,2,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
10033,175,1,Apartment,NYC,West Village,40.736155078544975,-74.00399860641241,12,89,2,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10034,190,1,Apartment,NYC,Crown Heights,40.671828298019584,-73.94933927848537,36,99,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1
10035,90,1,Apartment,Chicago,River North,41.90229864409586,-87.63436689839256,56,93,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,350,1,Apartment,NYC,Times Square/Theatre District,40.761309180851825,-73.98632853975509,8,97,6,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0
10037,100,1,House,LA,Toluca Lake,34.15463080852816,-118.37610120205886,80,91,4,1,1,2,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10038,199,1,Apartment,NYC,East Village,40.72457352795721,-73.98842335536591,23,92,4,1,2,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10039,150,1,Apartment,LA,Venice,33.9832800980362,-118.46529620318218,0,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10040,125,1,Apartment,LA,,34.04927588685163,-118.25061096753254,83,93,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10041,86,1,House,LA,East Los Angeles,34.045232621433556,-118.1867789006493,99,97,4,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10042,180,1,House,Chicago,Logan Square,41.92069364732106,-87.71940691030994,0,0,8,1,3,3,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10043,275,1,House,Chicago,Rogers Park,42.01001949072954,-87.66688171381338,6,100,8,1.5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10044,150,1,Apartment,SF,SoMa,37.77547204552189,-122.41210759594429,3,87,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10045,699,1,Apartment,NYC,Clinton Hill,40.69394355791296,-73.96836337421243,24,92,8,1,3,5,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10046,99,1,Apartment,NYC,Midtown East,40.75631694848984,-73.96463566723459,29,90,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10047,450,1,Apartment,Boston,Back Bay,42.35273014372186,-71.0835169156434,2,100,4,2,2,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10048,290,0,House,LA,,34.13967259838246,-118.73780846230692,0,0,6,2,3,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10049,650,1,House,SF,Nob Hill,37.79277345608489,-122.41204882894951,0,0,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10050,600,1,Apartment,DC,Adams Morgan,38.920791610101844,-77.03776410173427,1,100,4,1,0,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10051,250,1,Apartment,LA,Venice,34.00089669178357,-118.46674679193536,0,0,8,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052,300,1,House,DC,Capitol Hill,38.88539759186611,-77.004257660543,39,94,5,2.5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
10053,495,1,House,LA,,34.07140196225899,-118.43746273189491,30,93,8,4,4,4,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10054,80,1,House,LA,,34.053035848470046,-118.43653654430204,3,87,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10055,350,0,Apartment,SF,Downtown,37.78697352416923,-122.41428459643824,0,0,4,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10056,120,1,Apartment,NYC,Crown Heights,40.678433859633294,-73.9638539404038,3,90,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10057,100,0,Apartment,NYC,Alphabet City,40.7213198193959,-73.98262649031577,0,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10058,104,1,Apartment,Chicago,Pilsen,41.854473946357004,-87.68113343159234,0,0,5,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10059,120,1,Apartment,LA,Del Rey,33.9804221645569,-118.41642567891041,0,0,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10060,145,0,Apartment,SF,Bernal Heights,37.74653154885506,-122.40796997699194,82,97,2,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10061,109,1,House,LA,Laurel Canyon,34.10738765843469,-118.3845259322384,57,93,4,2,2,2,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10062,200,1,Apartment,Chicago,Ukrainian Village,41.901538968534496,-87.67564117060812,8,95,6,1,2,2,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10063,99,0,Apartment,NYC,Upper East Side,40.77657685751113,-73.94851289514497,2,90,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10064,100,1,Apartment,NYC,Crown Heights,40.67651571224216,-73.95713468717945,5,100,4,1,2,3,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,150,1,Apartment,DC,Capitol Hill,38.897538753944026,-76.99812289264365,8,100,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10066,68,1,House,LA,Sherman Oaks,34.157375952135446,-118.46397779683129,18,98,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10067,600,0,Apartment,SF,Pacific Heights,37.79682777283607,-122.43511199971243,0,0,4,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10068,185,1,House,NYC,Park Slope,40.66971562534192,-73.97953731777673,80,98,6,1.5,1,4,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10069,125,1,House,LA,Whittier,33.9741086925874,-118.02906513971851,6,100,4,1,2,3,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10070,180,0,Apartment,NYC,Hell's Kitchen,40.75483354589571,-73.99468313879875,7,97,3,1,1,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10071,210,1,House,LA,Laurel Canyon,34.11404992291253,-118.38762781240179,16,95,6,1.5,3,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10072,108,1,Apartment,LA,,34.078834164274745,-118.3558654221472,87,93,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10073,135,1,Apartment,NYC,Flatiron District,40.74171759896095,-73.984812950525,15,96,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10074,175,1,House,LA,Venice,33.98421549864168,-118.46891775496088,74,92,7,1,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10075,229,0,Apartment,Boston,Fenway/Kenmore,42.346549850616825,-71.09290997662639,8,93,10,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10076,235,1,Apartment,NYC,West Village,40.731178060843426,-74.00290384315748,81,97,3,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10077,215,1,Apartment,SF,Mission District,37.758578220179146,-122.42223511169772,3,93,2,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10078,330,1,Apartment,Boston,Roxbury,42.33832831242464,-71.0813246595963,83,88,7,2,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10079,499,1,Apartment,NYC,Hell's Kitchen,40.75864122956271,-73.99056296242809,80,98,6,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10080,75,0,Apartment,NYC,Hamilton Heights,40.82065356228164,-73.9452678063209,4,95,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10081,399,1,Apartment,SF,Telegraph Hill,37.799188700680325,-122.40502550792013,0,0,3,1,1,2,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10082,150,1,Apartment,NYC,Prospect Heights,40.67357164953743,-73.96577235912001,20,99,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10083,80,1,House,LA,Arcadia,34.127664087773525,-118.06383619711315,4,70,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10084,100,0,Apartment,LA,,34.07772860863395,-118.32883753257792,0,0,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10085,190,1,Apartment,NYC,Soho,40.727453160568366,-74.00269826908506,20,93,2,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10086,200,1,Apartment,NYC,Williamsburg,40.71905502524568,-73.95798394456862,7,97,5,1,1,2,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10087,149,0,Apartment,NYC,Hell's Kitchen,40.761009195691706,-73.98716264866019,61,95,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10088,210,1,House,SF,Outer Sunset,37.742284916480216,-122.5033461155432,122,90,8,1,2,3,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10089,95,0,Apartment,NYC,Throgs Neck,40.83050906869188,-73.8251084764468,58,98,2,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
10090,500,0,House,Boston,South Boston,42.334283877410456,-71.04521006425823,0,0,6,2.5,3,4,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10091,142,1,Apartment,Chicago,Lincoln Square,41.96684430612521,-87.69561356834944,1,100,6,1,2,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10092,170,0,Apartment,NYC,Upper West Side,40.77677139136683,-73.97971826129519,11,98,4,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10093,90,1,Apartment,LA,Mid-Wilshire,34.067263028288785,-118.29625769940692,85,89,6,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10094,125,1,Apartment,NYC,Bushwick,40.70420585244881,-73.91561437025841,7,97,5,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10095,183,1,Apartment,Boston,Fenway/Kenmore,42.34506855319599,-71.10143874823365,3,87,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10096,230,1,Apartment,NYC,Harlem,40.81160768435338,-73.94796978241622,16,84,8,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10097,95,1,Apartment,Chicago,Lakeview,41.95290849218832,-87.65319382898346,6,97,4,1,1,3,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10098,208,1,Apartment,NYC,Williamsburg,40.71002375741074,-73.9611418553342,1,0,4,1,2,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10099,50,0,Apartment,NYC,Jackson Heights,40.7523249234538,-73.88335339917029,0,0,3,1,0,2,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10100,160,0,Apartment,NYC,Astoria,40.7675088354418,-73.91779570446937,1,100,4,1,2,2,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10101,350,1,House,SF,Nob Hill,37.79462666828905,-122.41175662740595,57,91,6,1,2,4,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102,179,1,Apartment,NYC,Noho,40.726143278294,-73.9941494646535,0,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10103,189,0,Apartment,NYC,East Village,40.732532980027095,-73.98780113595544,12,100,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10104,150,1,Apartment,LA,West Los Angeles,34.043334237389935,-118.44764192779849,29,93,2,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
